Name,Pos,Total,Url
Emily Warren,211,"360,475,905",artist/1oKdM70mJD8VvDOTKeS8t1.html
RAF Camora,212,"358,070,004",artist/0Dvx6p8JDyzeOPGmaCIH1L.html
Afrojack,213,"352,667,708",artist/4D75GcNG95ebPtNvoNVXhz.html
Parson James,214,"352,510,139",artist/48sLioddyaXkuhyHXSkpsB.html
Piso 21,215,"350,893,886",artist/4bw2Am3p9ji3mYsXNXtQcd.html
Adam Levine,216,"349,528,948",artist/4bYPcJP5jwMhSivRcqie2n.html
Jennifer Lopez,217,"349,409,607",artist/2DlGxzQSjYe5N6G9nkYghR.html
MAGIC!,218,"345,115,804",artist/0DxeaLnv6SyYk2DOqkLO8c.html
Frenship,219,"344,100,658",artist/7xEFii6utZmQ61kX59HmLH.html
Don Omar,220,"343,846,128",artist/33ScadVnbm2X8kkUqOkC6Z.html
Marc Anthony,221,"343,279,074",artist/4wLXwxDeWQ8mtUIRPxGiD6.html
Alok,222,"340,080,460",artist/0NGAZxHanS9e0iNHpR8f2W.html
MGK,223,"339,957,017",artist/6TIYQ3jFPwQSRmorSezPxX.html
Kyle,224,"338,195,716",artist/4qBgvVog0wzW75IQ48mU7v.html
Lilly Wood and The Prick,225,"336,840,291",artist/50OApTJurDusIo9dGTqSU4.html
WALK THE MOON,226,"332,740,961",artist/6DIS6PRrLS3wbnZsf7vYic.html
Wesley Safadão,227,"332,259,218",artist/1AL2GKpmRrKXkYIcASuRFa.html
Lil' Kleine,228,"329,237,861",artist/3AlRiyjMywTVNzTcHbf9QT.html
Tory Lanez,229,"328,942,419",artist/2jku7tDXc6XoB6MO2hFuqg.html
Sam Martin,230,"328,009,115",artist/66AE89GQTx88zLYhXn1wFK.html
Harry Styles,231,"327,736,797",artist/6KImCVD70vtIoJWnq6nGn3.html
Disclosure,232,"319,317,870",artist/6nS5roXSAGhTGr34W6n7Et.html
Cali Y El Dandee,233,"318,302,242",artist/5DUlefCLzVRzNWaNURTFpK.html
Tyga,234,"315,110,939",artist/5LHRHt1k9lMyONurDHEdrp.html
William Singe,235,"314,913,154",artist/5exS0bytCYdixgv02DaCm3.html
Phoebe Ryan,236,"313,396,808",artist/4N874uPqBka1QiCvnCVOtr.html
Ronnie Flex,237,"311,445,080",artist/5eir5zFJpES4j7gsymbVyl.html
Kai,238,"311,375,059",artist/336sWeRf47R15pAm0Atmuk.html
Anuel Aa,239,"310,931,779",artist/2R21vXR83lH98kGeO99Y66.html
Tiësto,240,"306,129,675",artist/2o5jDhtHVPhrJdv3cEQ99Z.html
Paul McCartney,241,"304,373,677",artist/4STHEaNw4mPZ2tzheohgXB.html
Ne-Yo,242,"303,578,296",artist/21E3waRsmPlU7jZsS13rcj.html
Deorro,243,"299,213,982",artist/6VD4UEUPvtsemqD3mmTqCR.html
Nick Jonas,244,"298,734,533",artist/4Rxn7Im3LGfyRkY2FlHhWi.html
Bruno Martini,245,"291,269,517",artist/5veVxxPm1vzgi6pO2iVA8L.html
CADE,246,"290,932,994",artist/0CEK8AzyeD5ZUdUloB6yQV.html
Michael Bublé,247,"288,042,098",artist/1GxkXlMwML1oSg5eLPiAz3.html
Astrid S,248,"287,115,831",artist/3AVfmawzu83sp94QW7CEGm.html
Rudimental,249,"283,410,420",artist/4WN5naL3ofxrVBgFpguzKo.html
The Vamps,250,"280,922,523",artist/7gAppWoH7pcYmphCVTXkzs.html
Zeeba,251,"279,153,425",artist/7qPLO2XOUaRrRxkvLZ3AEK.html
Maggie Lindemann,252,"279,080,397",artist/0uGk2czvcpWQA383Im6ajf.html
Remy Boyz,253,"276,448,219",artist/2s0yxtiHiyGe6CY4mbDYFi.html
Rag'n'Bone Man,254,"275,662,899",artist/4f9iBmdUOhQWeP7dcAn1pf.html
