,Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.85) + residual,Explained constant
110,Namibia,4.573999881744385,4.770354740917683,4.377645022571087,0.9644343256950378,1.0984708070755005,0.33861181139945984,0.5203035473823547,0.07713374495506287,0.09314697235822678,1.4818902015686035,1
111,Kenya,4.552999973297119,4.655691590607166,4.450308355987072,0.560479462146759,1.06795072555542,0.3099883496761322,0.45276376605033875,0.4448603093624115,0.0646413192152977,1.651902198791504,1
112,Mozambique,4.550000190734863,4.774102326333523,4.325898055136204,0.23430564999580383,0.870701014995575,0.10665443539619446,0.4807910919189453,0.3222281038761139,0.17943638563156128,2.3556509017944336,1
113,Myanmar,4.545000076293945,4.614739946424961,4.47526020616293,0.36711055040359497,1.1232359409332275,0.39752256870269775,0.5144920349121094,0.8380751609802246,0.18881620466709137,1.1152904033660889,1
114,Senegal,4.534999847412109,4.601603781282901,4.468395913541317,0.4793090224266052,1.1796919107437134,0.4093628525733948,0.37792226672172546,0.18346889317035675,0.11546044796705246,1.7896461486816406,1
115,Zambia,4.513999938964844,4.64410550147295,4.3838943764567375,0.6364067792892456,1.0031872987747192,0.25783589482307434,0.4616034924983978,0.24958014488220215,0.07821355015039444,1.8267054557800293,1
116,Iraq,4.497000217437744,4.622591409683228,4.371409025192261,1.102710485458374,0.9786131978034973,0.5011804699897766,0.2885555326938629,0.1996372640132904,0.1072157546877861,1.3189072608947754,1
117,Gabon,4.465000152587891,4.557361765652895,4.372638539522886,1.1982102394104004,1.1556202173233032,0.3565785884857178,0.312328577041626,0.04378537833690643,0.07604678720235825,1.3229162693023682,1
118,Ethiopia,4.460000038146973,4.542728676646948,4.377271399646998,0.3392338454723358,0.8646692037582397,0.35340970754623413,0.4088427424430847,0.31265074014663696,0.16545571386814117,2.0157437324523926,1
119,Sri Lanka,4.440000057220459,4.553447192311287,4.326552922129631,1.0098501443862915,1.2599763870239258,0.625130832195282,0.5612132549285889,0.490863561630249,0.07365396618843079,0.4193892478942871,1
